Training Log
================================================================================
 Epoch   Train Loss   Train Acc    Val Loss    Val Acc          LR
--------------------------------------------------------------------------------
     1       1.8140      0.3101      1.2560     0.5493         N/A
     2       1.1848      0.5257      0.8275     0.7058         N/A
     3       0.9344      0.6076      0.7964     0.7130         N/A
     4       0.8230      0.6674      0.4968     0.7725         N/A
     5       0.7560      0.6899      0.4333     0.7971         N/A
     6       0.6914      0.7069      0.4204     0.8246         N/A
     7       0.6971      0.7250      0.4251     0.8000         N/A
     8       0.6374      0.7359      0.4596     0.7942         N/A
     9       0.6218      0.7322      0.4010     0.7957         N/A
    10       0.5594      0.7623      0.3695     0.8348         N/A
    11       0.5878      0.7522      0.4020     0.7971         N/A
    12       0.4976      0.7768      0.3686     0.8594         N/A
    13       0.5197      0.7775      0.3794     0.8203         N/A
    14       0.5284      0.7703      0.3991     0.7870         N/A
    15       0.4928      0.7797      0.3473     0.8319         N/A
    16       0.4928      0.7801      0.3136     0.8580         N/A
    17       0.4515      0.8018      0.3087     0.8797         N/A
    18       0.4652      0.7989      0.3211     0.8493         N/A
    19       0.4567      0.8025      0.3196     0.8681         N/A
    20       0.4134      0.8101      0.2985     0.8739         N/A
    21       0.4776      0.7906      0.3552     0.8362         N/A
    22       0.4450      0.8112      0.3265     0.8522         N/A
    23       0.4224      0.8181      0.3175     0.8507         N/A
    24       0.4029      0.8246      0.3003     0.8725         N/A
    25       0.4761      0.8000      0.2943     0.8449         N/A
    26       0.4093      0.8116      0.3033     0.8493         N/A
    27       0.4097      0.8145      0.3536     0.8072         N/A
    28       0.3986      0.8130      0.2927     0.8536         N/A
    29       0.4064      0.8192      0.3305     0.8681         N/A
    30       0.4240      0.8076      0.2611     0.8754         N/A
    31       0.3652      0.8322      0.2668     0.9000         N/A
    32       0.4038      0.8203      0.2779     0.8739         N/A
    33       0.3791      0.8319      0.2511     0.8826         N/A
    34       0.3734      0.8297      0.2718     0.8812         N/A
    35       0.3800      0.8167      0.2890     0.8783         N/A
    36       0.4008      0.8152      0.3057     0.8464         N/A
    37       0.3514      0.8355      0.2651     0.8696         N/A
    38       0.3352      0.8312      0.2598     0.8768         N/A
    39       0.3400      0.8351      0.2378     0.8899         N/A
    40       0.3854      0.8228      0.4184     0.8159         N/A
    41       0.4602      0.7982      0.2557     0.8797         N/A
    42       0.3663      0.8254      0.2646     0.8884         N/A
    43       0.3461      0.8391      0.3102     0.8681         N/A
    44       0.3401      0.8297      0.2546     0.8870         N/A
    45       0.3805      0.8431      0.2445     0.8870         N/A
    46       0.3391      0.8406      0.2381     0.8841         N/A
    47       0.3512      0.8399      0.2490     0.8870         N/A
    48       0.3592      0.8333      0.2863     0.8725         N/A
    49       0.3518      0.8286      0.2724     0.8783         N/A
    50       0.3014      0.8391      0.2526     0.8870         N/A
    51       0.2993      0.8467      0.2351     0.8957         N/A
--------------------------------------------------------------------------------

Best validation accuracy: 0.9000 at epoch 31
